wm,ir,name,cpb,max_features,flops_sum
0.25,32,mbv2-im100-vm96-nots,"[[3, 3, 2], [3, 5, 1], [3, 5, 2], [3, 3, 1]]",325072,8234048
0.25,32,mbv2-im100-vm128-nots,"[[3, 3, 2], [3, 5, 2], [6, 5, 1], [4, 3, 2]]",515440,9672896
0.25,64,mbv2-im100-vm96-tinyts,"[[4, 3, 2], [4, 5, 3], [4, 5, 1], [3, 5, 2]]",904784,56534464
0.25,64,mbv2-im100-vm96-patchts,"[[4, 3, 1], [6, 5, 3], [3, 5, 1], [6, 3, 2]]",623792,49387456
0.25,64,mbv2-im100-vm256-nots,"[[6, 3, 2], [6, 3, 2], [6, 3, 2], [6, 5, 1]]",395536,39312320
0.25,96,mbv2-im100-vm96-dupnas,"[[6, 3, 1], [6, 3, 2], [4, 5, 2], [3, 3, 2]]",607072,90056256
0.25,96,mbv2-im100-vm128-tinyts,"[[3, 5, 3], [6, 3, 2], [6, 3, 1], [4, 3, 2]]",501264,132994752
0.25,96,mbv2-im100-vm128-patchts,"[[4, 3, 1], [4, 5, 2], [6, 3, 2], [4, 5, 2]]",963920,102222528
0.25,128,mbv2-im100-vm128-dupnas,"[[4, 3, 2], [3, 3, 2], [4, 3, 2], [4, 5, 2]]",920552,168393664
0.25,128,mbv2-im100-vm256-dupnas,"[[6, 3, 3], [4, 3, 2], [3, 3, 2], [6, 5, 2]]",999040,212081600
0.25,128,mbv2-im100-vm256-tinyts,"[[3, 3, 2], [3, 5, 2], [6, 5, 1], [4, 5, 2]]",902512,179248064
0.25,128,mbv2-im100-vm256-patchts,"[[4, 3, 1], [3, 5, 2], [4, 5, 1], [4, 5, 2]]",890408,160873408
